GS,Trial,Center_X,Center_Y,Beach_X,Beach_Y,AngleBeach,Date,Weather,Temp,hour,minutes,Dig,Dist_Actual,Dist_StrtLine,Sinuosity,Time,FinalPosition,HeadingMean,StartHeading,Velocity,Start_X,Start_Y,Start_X.T,Start_Y.T,StartLocation,End_X,End_Y,Latency,Animal,Dist_Diff,TOD,Smoky,Year,Latency2,GS.Trial,FinalPosition.Pan,FinalPosition.L,StartHeading.L
1,32,2138.420284,1000.666916,1611.72796,183.688375,-2.14342480336075,2021-08-14,Cloudy,68,12,6,Magdalena,13.622160044379743,8.799903753947564,0.6459991458974412,1.7,-0.102212418628487,-0.05076525669716,0.445855315624262,8.013035320223379,1937.64,799.64,277.750444978405,-59.8266973339632,-0.212155880087895,1583.735038,307.452412,21.066666666666666,1,4.822256290432179,12:06:00,Smoky,2021,3.0492730404820207,1.32,-2.2456372219892384,0.4511587021465875,0.196081665571195
1,33,1920.492393,1100.071485,2669.472973,455.578031,-0.710555033286995,2021-08-15,Cloudy,61,8,38,Muaz,27.750822252526074,16.48534282535086,0.5940488060259276,3.7,-1.69210655280109,-1.62186176139939,0.256445575387207,7.500222230412452,2019.98,1298.55,-54.0469186693693,215.337956351263,1.81670323904561,1236.268688,476.653846,9.133333333333333,1,11.265479427175215,08:38:00,Smoky,2021,2.2155737160044158,1.33,-2.4026615860880844,2.0410528363191904,0.006671925334140738
1,4,1949.289637,1068.070317,2900.057855,1305.519718,0.244738443195937,2021-07-27,Sunny,63,9,59,Magdalena,41.38719021691295,11.945687148377571,0.2886324750670304,11.833333333333334,1.13841141952338,1.2033433238154,-1.81553476999076,3.4975090324151785,2022.8183,1169.070958,95.8102777499734,80.1747119885777,0.696784815400802,2123.549931,1985.807686,0.03333333333333333,1,29.441503068535376,09:59:00,Not Smoky,2021,-2.70805020110221,1.4,1.3831498627193164,0.7894651360052789,2.0653084200438308
5,21,2226.070292,1113.482955,3118.375165,924.927619,-0.208249099655939,2021-08-09,Sunny,64,12,27,Ada,36.28880006715864,7.91806867420556,0.21819593537267196,6.333333333333333,0.313594727609429,0.599101935760564,-2.27501040554913,5.729810536919786,2491.55,987.07,285.879379447204,-68.7945561689225,-0.236151829607438,2995.880282,1194.880403,0.5666666666666667,1,28.37073139295308,12:27:00,Not Smoky,2021,-0.5108256237659907,5.21,0.10534562795349023,0.03535155590867145,2.524784055602196
5,21,2226.070292,1113.482955,3118.375165,924.927619,-0.208249099655939,2021-08-09,Sunny,64,12,27,Ada,22.807408617680345,12.664322380048477,0.5552723061326252,5.433333333333334,-0.0520378486366576,0.27317579672239,-2.38811496828495,4.197682567671229,2154.71,844.02,-14.1078135987269,-278.394585053519,-1.62142861837471,3025.302887,900.624281,0.4,2,10.143086237631868,12:27:00,Not Smoky,2021,-0.8362480242006186,5.21,-0.26028694829259674,0.4009841321547585,2.637888618338017
5,21,2226.070292,1113.482955,3118.375165,924.927619,-0.208249099655939,2021-08-09,Sunny,64,12,27,Ada,16.017407821450643,10.078825597106611,0.6292419915542742,3.1,0.353771470139714,0.744349927777859,-2.29530932023515,5.166905748855046,2478.440594,883.302548,294.506834528942,-173.030383210577,-0.531196848534158,3075.351485,1237.952229,9.533333333333333,3,5.938582224344032,12:27:00,Not Smoky,2021,2.2582848340974655,5.21,0.14552237048377445,0.004825186621612687,2.5450829702882114
5,21,2226.070292,1113.482955,3118.375165,924.927619,-0.208249099655939,2021-08-09,Sunny,64,12,27,Ada,16.352164049621756,9.21999365476103,0.5638393564779763,3.9,0.411408273786946,0.557037205051585,-1.70393949074348,4.192862576826092,2470.836634,1069.799363,248.509478250137,7.86496064378105,0.0316379735295766,3067.747525,1286.869427,0.23333333333333334,4,7.132170394860726,12:27:00,Not Smoky,2021,-1.3217558399823195,5.21,0.20315917413100637,0.06246199026884458,1.9537131407965491
5,21,2226.070292,1113.482955,3118.375165,924.927619,-0.208249099655939,2021-08-09,Sunny,64,12,27,Ada,9.512545910702963,7.607909312616644,0.7997763568275311,0.9,0.139999442752858,0.3193132506805,0.255516214780013,10.569495456336625,2478.440594,1002.538217,269.855200199397,-56.3708714390977,-0.205931747554232,2999.311881,1060.627389,0.3333333333333333,5,1.9046365980863191,12:27:00,Not Smoky,2021,-1.0033021088637848,5.21,-0.06824965690308071,0.2089468407652424,0.005742564726946675
5,28,1938.115439,1064.567707,2793.184484,557.908171,-0.534913486549663,2021-08-14,Cloudy,64,10,22,Magdalena,14.857282920909947,9.185793989449055,0.6182687667959185,2.1333333333333333,-1.0762615831456,-0.931271726291167,0.53491348654951,6.964351369176538,1837.457281,837.956826,28.9211660866195,-246.268394869783,-1.45389419923213,1903.534431,208.617042,7.866666666666666,1,5.6714889314608925,10:22:00,Smoky,2021,2.0668627594729756,5.28,-1.611175069695258,1.4252078666636958,0.2851398364964437
5,28,1938.115439,1064.567707,2793.184484,557.908171,-0.534913486549663,2021-08-14,Cloudy,64,10,22,Magdalena,12.640648258514137,9.537941675250336,0.7545452954777089,2.9,-0.497741850320683,-0.473139993787352,-0.0220003743410318,4.35884422707384,2057.461828,833.090349,220.67464694057,-138.304114297639,-0.559844647264129,2408.007694,277.353829,0.3,2,3.1027065832638012,10:22:00,Smoky,2021,-1.0986122886681098,5.28,-1.0326553368703462,0.8466881338387839,0.27177402439409803
